tempo[μs],tensione[mV]
0.0,2
0.01,8
0.02,60
0.03,100
0.04,108
0.05,96
0.06,76
0.07,40
0.08,16
0.09,-36
0.1,-70
0.11,-76
0.12,-64
0.13,-52
0.14,-44
0.15,-22
0.16,20
0.17,46
0.18,58
0.19,64
0.2,50
0.21,34
0.22,10
0.23,-4
0.24,-32
0.25,-50
0.26,-52
0.27,-44
0.28,-28
0.29,-12
0.3,-2
0.31,18
0.32,20
0.33,34
0.34,36
0.35,24
0.36,12
0.37,0
0.38,-12
0.39,-14
0.4,-24
0.41,-32
0.42,-22
0.43,-10
0.44,-16
0.45,-2
0.46,18
0.47,20
0.48,24
0.49,20
0.5,16
0.51,-6
0.52,-10
0.53,-18
0.54,-12
0.55,-14
0.56,-16
0.57,-6
0.58,-4
0.59,2
0.6,10
0.61,14
0.62,12
0.63,8
0.64,16
0.65,14
0.66,2
0.67,-6
0.68,-18

#smorzamento critico
#Resistenza = 3900 omh 

tempo2[μs],tensione2[mV]
0,8
2,88
4,208
6,304
8,392
10,464
12,520
14,568
16,600
20,648
22,656
24,664
26,664
28,664
30,656
32,640
36,608
40,568
44,528
48,480
52,432
56,384
62,320
68,256
74,208
80,160
86,120
90,104
94,80
98,64
102,56
104,48
110,32
114,24
122,16
130,8
140,0 

#sovrasmorzamento 
#

