Frequenza,Ampiezza Va,Ampiezza Vb,Ampiezza Va-b,ddf a/b,ddf a-b/a,Unnamed: 6,rapporto A-B
200,10.2,0.17,10.17,92.0,0.6,,0.01666666666666667
400,10.19,0.25,10.2,90.5,1.2,,0.02453385672227674
600,10.19,0.37,10.21,89.8,2.0,,0.03631010794896958
800,10.17,0.49,10.22,89.3,2.7,,0.048180924287118974
1000,10.18,0.62,10.23,87.5,3.4,,0.060903732809430254
2000,10.0,1.28,10.06,85.3,4.1,,0.128
3000,9.9,1.92,9.9,82.2,8.6,,0.1939393939393939
4000,9.8,2.55,9.7,78.4,14.5,,0.260204081632653
5000,9.66,3.1,9.4,75.5,18.2,,0.32091097308488614
6000,9.45,3.6,9.1,73.0,21.7,,0.380952380952381
8000,9.08,4.46,8.3,65.1,25.9,,0.4911894273127753
10000,8.74,5.13,7.67,59.5,35.3,,0.5869565217391304
12000,8.45,5.58,7.05,54.3,40.6,,0.6603550295857988
13000,8.36,5.82,6.75,52.8,40.7,,0.6961722488038279
14000,8.23,5.98,6.46,50.7,44.5,,0.7266099635479951
15000,8.1,6.15,6.25,48.2,48.9,,0.7592592592592593
15500,8.075,6.18,6.06,47.9,50.1,,0.7653250773993808
16000,8.05,6.28,5.95,46.0,50.4,,0.7801242236024845
16500,7.9,6.32,5.88,46.2,51.8,,0.8
17000,7.9,6.38,5.74,45.5,49.5,,0.8075949367088607
18000,7.8,6.48,5.54,43.1,54.1,,0.8307692307692308
19000,7.77,6.6,5.31,42.2,54.5,,0.8494208494208494
20000,7.75,6.65,5.13,40.7,58.4,,0.8580645161290323
22000,7.6,6.8,4.77,37.8,62.5,,0.8947368421052632
30000,7.29,7.14,3.72,26.6,73.5,,0.9794238683127572
40000,7.13,7.39,2.9,22.1,83.9,,1.0364656381486677
50000,7.05,7.45,2.4,17.9,90.2,,1.0567375886524824
100000,6.94,7.52,1.39,8.8,112.0,,1.0835734870317002
150000,6.9,7.56,1.08,7.2,125.0,,1.0956521739130434
300000,6.91,7.6,0.84,4.5,144.0,,1.0998552821997105
500000,6.91,7.63,0.83,1.4,162.0,,1.1041968162083935
1000000,6.9,7.6,0.78,1.1,170.0,,1.1014492753623186
1500000,6.94,7.63,0.77,0.9,171.0,,1.0994236311239192
3000000,6.96,7.6,0.74,0.0,178.0,,1.0919540229885056
